article_id,shares,text,views
0,376,"For more than 24 hours, Binance, the world’s largest cryptocurrency exchange, was down due to a server issue on Feb. 7. On Feb. 9, Binance resumed trading after successfully rebooting its server.Binance hack rumors refutedJohn McAfee, a security expert and a well-known public figure in the cryptocurrency space, continued to fuel controversy around Binance and rumors of hacking attacks, showing screenshots that circulated on various social media platforms.“I received dozens similar from a variety of sources. I'm not saying there was a hack. I'm merely asking for clarification. If a hack did happen and we are not immediately pursuing it, then the chances of recovery go to zero within 24 hours,” McAfee stated.In response to McAfee’s statement, which referenced a photoshopped image of the Binance website, the company’s CEO Changpeng Zhao stated:Immediately after McAfee released several statements on the issue, the Binance team along with its CEO Changpeng Zhao refuted the rumors, stating that Binance was not hacked. Binance went as far as to transfer funds from its cold wallet to hot wallet to show that the exchange was not hacked.The Binance team also encouraged McAfee not to spread false information and provided evidence that funds on the exchange are safe by publicly showing the cryptocurrency wallet addresses of the exchange.Zhao added that the exchange did not experience a hack, but an issue with its server and the team focused on recovering its data to enable trading.Difference between hack and minor server issuesRecently, many cryptocurrency exchanges and trading platforms were hacked. Coincheck experienced a $530 mln hacking attack as reported by Cointelegraph and yesterday, the largest Nano (RaiBlocks) exchange BitGrail experienced a security breach.The difference between a hacking attack and a minor server issue is that with security breaches, anyone can verify the movement of absurdly large amounts of cryptocurrencies from the cryptocurrency exchange’s wallets to external wallets, as seen in the case of Coincheck.Hours before the Coincheck team admitted to a hacking attack, many members of the cryptocurrency community released evidence that hundreds of millions of dollars worth of NEM were moved from the wallet of Coincheck to external wallets.Thus, if there is no evidence that large sums of funds in cryptocurrencies are transferred from the wallets of a cryptocurrency exchange to external wallets, it is irresponsible to suggest the possibility of a hacking attack.On Feb. 11, Binance CEO Changpeng Zhao released a personal statement on the recent Binance server issue and the actions of McAfee.“The real helper was Mr. Mcafee, posting an obviously fake image about us being hacked. Everyone pitched in to help defend us. He united the community for us, and rallied such support, during a time when we needed it the most. Sometimes, things that look negative are actually positive.”Cryptocurrency exchanges have similar daily trading volumes as stock markets in regions like South Korea. Trading platforms process billions of dollars on a daily basis. As such, upon the occurrence of a hacking attack or a security breach, cryptocurrency exchanges often contact the authorities and cooperate with law enforcement to investigate the attack, as Coincheck did last month. Also, given the size of most major cryptocurrency exchanges, it is irresponsible to suggest the possibility of hacking attacks or security breaches without hard evidence.",55519
1,3833,"The Arizona Senate passed a bill on Feb. 8 to allow residents in the state to pay their taxes with cryptocurrencies, public records indicate.The Senate Bill 1091, which intends to enable cryptocurrencies for tax payment, was introduced Jan. 10, 2018 and passed by the Senate Finance Committee by a 4-3 vote on Jan. 24. On Feb. 8, the Senate passed the bill by a 16-13 margin, with one no-vote.The bill has now been sent to Arizona’s House of Representatives.If the bill is adopted, Arizona would become the first state in the U.S. to accept cryptocurrency tax payments by the year of 2020, as stated on the public record. The bill would allow taxpayers of the state to use “a payment gateway, such as Bitcoin, Litecoin or any other cryptocurrency recognized by the department, using electronic peer-to-peer systems.”According to the bill, the Arizona Department of Revenue, upon receiving payments in crypto for “tax and any interest and penalties”, would be obligated to convert the cryptocurrency payments to U.S. dollars within 24 hours.Arizona State Republican Rep. Jeff Weninger, who co-sponsored the bill, said the tax measure intends to turn the state into a center of  “blockchain and digital currency technology in the future”. Referring to the tax bill, Weninger told Fox News this week:""It's one of a litany of bills that we're running that is sending a signal to everyone in the United States, and possibly throughout the world, that Arizona is going to be the place to be for blockchain and digital currency technology in the future.""In September, 2017, Cointelegraph reported that the municipality of Chiasso, Switzerland will enable its residents to pay taxes in Bitcoin starting January 2018, following the lead of Zug.",115596
2,1193,"J.P. Morgan has called cryptocurrencies the “innovative maelstrom” around Blockchain and said they are “unlikely to disappear” in what appears to be an internal report from the company, published Feb. 8, 2018.In an extract from what is allegedly the banking giant’s executive summary on cryptocurrency, the company appears bullish on crypto’s future.“Cryptocurrencies are the face of the innovative maelstrom around the Blockchain technology that is bringing both massive price volatility and a constant trial-and-error of new product try-outs and failures,” the report states.Despite the report’s mixed tone, the distinction from J.P. Morgan’s public position on cryptocurrency over the past six months is palpable.In September, 2017 J.P. Morgan CEO Jamie Dimon became notorious after he called Bitcoin a “fraud,” triggering the very price volatility the bank now cites as a “challenge” crypto assets face.Dimon subsequently claimed he was “not going to talk about Bitcoin anymore,” while last month publicly disclosing he “regretted” making the fraud comments.Speaking to Cointelegraph at the World Economic Forum in January, 2018, Dimon flatly refuted the idea that he was a “skeptic” on Bitcoin.The recently published report meanwhile offers ideas as to how cryptocurrencies could be used most effectively.“CCs [Cryptocurrencies] are unlikely to disappear and could easily survive in varying forms and shapes among players who desire greater decentralization, peer-to-peer networks and anonymity, even as the latter is under threat,” the summary continues in a positive vein.“The underlying technology for CCs [cryptocurrencies] could have the greatest application in areas where current payment systems are slow, such as across borders, as payment, reward tokens or funding systems for other Blockchain innovations and the Internet of Things, as well as parts of the underground economy.”Last week J.P. Morgan was one of several US banks to ban clients from purchasing cryptocurrency with credit cards.",68913
3,249,"The U.S. Securities and Exchange Commission (SEC) declined to provide information on Blockchain project Tezos requested by attorney David Silver via the Freedom of Information Act (FOIA), Reuters reported Feb. 10.Silver represents plaintiffs in a lawsuit filed against Tezos back in November, 2017, the second of several lawsuits against the company since it gathered $232 mln in a record-breaking ICO in July, 2017.In the response letter to Silver’s request for information, the SEC denied information disclosure regarding Tezos, citing Exemption 7(A) of FOIA. According to Reuters, the letter did not imply that Trezor was under SEC investigation.The SEC stated in the letter that such an exemption is used when the release of information could “be expected to interfere with enforcement activities”:""This exemption protects from disclosure records compiled for law enforcement purposes, the release of which could reasonably be expected to interfere with enforcement activities. Since Exemption 7(A) protects the records from disclosure, we have not determined if other exemptions apply. Therefore, we reserve the right to assert other exemptions when Exemption 7(A) no longer applies,""Tezos ICO, in second place in terms of most funds raised by any ICO, has been a subject of scrutiny and multiple lawsuits since over the question of its compliance with SEC regulations. The lawsuits claim that during their ICO Tezos was selling securities to US investors without registration and approval of the SEC.During the SEC and CFTC hearings Feb. 6, Jay Clayton, chairman of the SEC, emphasized that many ICOs are violating existing laws and warned that ICOs to “should pay more attention” since the SEC will investigate those potential violations further.",42972
4,352,"Suspicion is growing around Italian cryptocurrency exchange BitGrail after its owner seemingly asked for a coin’s ledger to be changed after the exchange reported funds were missing Thursday, Feb 8.BitGrail, a lesser-known exchange in the cryptocurrency space, reportedly suffered losses of one of its hosted tokens, Nano (formerly known as Raiblocks), subsequently freezing trading. In a note on their website posted Feb. 9, the exchange stated that 17 million Nano had been stolen in the hack, an amount worth about $187 million at the time the losses were discovered.XRB withdrawals will be enabled again as soon as possible. Funds are safe, users still have access to them.Withdrawals that were pending since before this maintenance should have been completed.Reminder: withdrawals for other coins are available.Thank you for understanding.— BitGrail Exchange (@BitGrail) January 10, 2018Feb. 9, a day after they were informed of the hack, Nano developers provided an official comment showing that BitGrail’s owner and operator Francesco “The Bomber” Firano had asked for the altcoin’s ledger to be altered.“...Firano informed us of missing funds from BitGrail’s wallet. An option suggested by Firano was to modify the ledger in order to cover his losses — which is not possible, nor is it a direction we would ever pursue,” Nano wrote in a Medium post.Nano promptly dropped almost 20% across exchanges in the past two days, while updates from BitGrail on social media have yet to appear, except for a tweet Feb. 8 saying Nano (XRB) markets were “currently unavailable”.XRB Markets currently unavailable.— BitGrail Exchange (@BitGrail) February 8, 2018However, a Twitter user named Francesco the Bomber, allegedly Firano, posted a string of tweets about the hack, the most recent of which referenced “unfounded accusations...by the dev team”, likely a response to Nano’s post on Medium.The reputation of both Firano and BitGrail currently appears shaky, Nano continuing it considered his behavior “misleading.”“We now have sufficient reason to believe that Firano has been misleading the Nano Core Team and the community regarding the solvency of the BitGrail exchange for a significant period of time,” the  Nano post continues.The BitGrail debacle comes as dust continues to settle on Japanese exchange Coincheck’s giant $530mln hack late last month. Although accusations of foul play have been few, questions remain about security practices as state regulators conduct an ongoing major investigation.On Twitter, cryptocurrency industry commentators reacted cautiously, one likening Firano’s request to what happened in the DAO hack in June, 2016, after which Ethereum was hard-forked to refund users.Nano noted that even if Firano’s request were accepted, changing transaction history was “not possible”.",52046
5,334,"The Federal Reserve Bank of New York published an interview on their site Friday, Feb. 9, in which two of its economists explain cryptocurrency, highlighting crypto’s “trustless” nature, but expressing doubt that cryptocurrency could ever “realistically compete with current payment methods.”Michael Lee and Antoine Martin, both economists in the New York Fed’s Research and Statistics Group, took turns answering questions covering basic concepts of cryptocurrency and financial trust.On the notion that virtual currencies are not “backed by anything real”, such as gold, Lee declared pointedly:“You're right that they [virtual currencies] are not backed by a physical commodity, but then neither is the dollar and most other modern currencies.”Lee added that trust in a given currency is what gives it value in a payment environment and makes it an “acceptable medium of exchange”. In the case of cryptocurrency, said trust is not provided by any given government or institution, but by Blockchain technology itself.Is crypto the ‘future of money’?Responding to the question of whether or not cryptocurrencies would ever become the “future of money”, Martin expressed doubt, stating that the problem cryptocurrency ostensibly solves may not actually need solving, at least not in “advanced economies”:“Cryptocurrencies arguably solve the problem of making payments in a trustless environment, but it is not obvious that this is a problem that needs solving, at least in the United States and other advanced economies.”He also cites lack of “convenience” and “extreme volatility” as factors that will keep cryptocurrencies from mainstream adoption as a currency, noting “people do tend to trust financial institutions to handle payments and central banks to maintain the value of money”.As Lee himself noted in the interview, there is an inverse relationship between trust in the fiat financial system and interest in Bitcoin. During the 2015 financial crisis in Greece, the number of Bitcoin transactions on the network hit a record peak.A disclaimer at the end of the NY Fed interview makes it clear that the economists’ opinions “do not necessarily reflect” the official position of the Federal Reserve Bank of New York or the Federal Reserve System as a whole.",45768
6,669,"In our Expert Takes, opinion leaders from inside and outside the crypto industry express their views, share their experience and give professional advice. Expert Takes cover everything from Blockchain technology and ICO funding to taxation, regulation and cryptocurrency adoption by different sectors of the economy.If you would like to contribute an Expert Take, please email your ideas and CV to a.mcqueen@cointelegraph.com.2017 was a challenging year for Puerto Rico. First came the destruction and devastation from Hurricane Irma and Maria. Then came disorganized relief efforts, and allegations back and forth as to whether Puerto Rico or the US were to blame. Even today, only 60 percent of Puerto Rico has access to reliable electricity. And the Tax Reform bill that just passed the Congress imposed new tariffs on US companies that hold Puerto Rican subsidiaries.Still, some see in Puerto Rico a budding crypto tax paradise. Some tax advisers are telling their clients to pick up and move to Puerto Rico. As the theory goes, after establishing residency they can sell their cryptocurrency holdings 100 percent tax-free. Sounds great! Where does one sign up?If true, this could be a boon to the Puerto Rican economy, not to mention to those individuals sitting on mountains of appreciated cryptocurrency assets. But does this Puerto Rico tax scheme actually work? Like everything in the world of cryptocurrency taxes, great caution is in order.The IRS is just getting around to developing a strategy to identify, assess and collect the billions of dollars in taxes from cryptocurrencies that some believe are going unreported. The notion that US and Puerto Rico tax authorities will allow millions (if not billions) in cryptocurrency sales to escape taxation entirely is pretty optimistic, to say the least.Will the US tax crypto sales after a move to Puerto Rico?Generally speaking, the IRS does not require a US taxpayer to include income from “sources within Puerto Rico” if they have resided in Puerto Rico for an entire taxable year. That part seems good.However, there are a whole host of rules governing “bona fide residency” that can apply, as well as information reporting requirements to the IRS. So one would need to truly move to Puerto Rico, not just go through some of the motions. Plus, sales may still need to be reported to the IRS, even if they’re not subject to US tax.Of course, the more significant worry is that the IRS will seek to tax these crypto sales from Puerto Rico, even if one legitimately establishes residency there. How could this be done? Possibly under complex regulations governing “property of former US residents.” The IRS might argue that much of the gain from a crypto sale in Puerto Rico should be taxed in the US. For example, take someone that bought Bitcoin back in 2015 and only moved to Puerto Rico in 2018. The IRS might argue that nearly all of the appreciation occurred prior to the move to Puerto Rico and that therefore the IRS has the right to tax nearly all of the gains from the sale. You may have to wait ten years before you sell to avoid any US tax.Would the IRS prevail if this issue went to court? Some tax advisers apparently think not. But with big tax dollars at stake, caution is definitely in order. The IRS is just ramping up its efforts to tax cryptocurrencies, and it might not take the most taxpayer-friendly positions. The idea that someone can move to Puerto Rico with appreciated cryptocurrencies, potentially worth billions of dollars, and sell them entirely tax-free, sounds good but perhaps too good to be true.  Que Pasa con Puerto Rico?The other side of the equation is Puerto Rico. Let’s assume that in a perfect world, the IRS conceded that the sale of crypto in Puerto Rico (after moving) was not subject to any US tax.Would Puerto Rico try to tax these sales? Again, some advisers say no, and point to tax incentives that Puerto Rico has for built-in capital gains of new residents. But here too, caution is definitely in order. Consulting with Puerto Rico tax experts first seems prudent, to avoid an expensive mishap.  For example, the Puerto Rican exemptions might only apply to gains that were accrued after the individual becomes a bonafide resident of Puerto Rico. Plus, with state budget severely strapped, and the local economy flailing, it might pay to expect the unexpected. Even if the Puerto Rico tax dodge works for now (which is questionable), whether it will persist is worth considering carefully.Imagine that billions of dollars of cryptocurrency sales are being executed in Puerto Rico, and no government is collecting any tax on them. Should you really expect the IRS and the Puerto Rican tax authorities to sit back and watch, rather than trying to take a piece for themselves?  If so, I have an island paradise to sell you.The views expressed here are the author’s own and do not necessarily represent the views of Cointelegraph.com Dashiell Shapiro is a Tax Partner at Wood LLP in San Francisco, CA, and a former DOJ Tax Attorney.  His practice focuses on tax controversy and audit defense and includes international tax and financial products/cryptocurrency tax planning work.",57040
0,376,"For more than 24 hours, Binance, the world’s largest cryptocurrency exchange, was down due to a server issue on Feb. 7. On Feb. 9, Binance resumed trading after successfully rebooting its server.Binance hack rumors refutedJohn McAfee, a security expert and a well-known public figure in the cryptocurrency space, continued to fuel controversy around Binance and rumors of hacking attacks, showing screenshots that circulated on various social media platforms.“I received dozens similar from a variety of sources. I'm not saying there was a hack. I'm merely asking for clarification. If a hack did happen and we are not immediately pursuing it, then the chances of recovery go to zero within 24 hours,” McAfee stated.In response to McAfee’s statement, which referenced a photoshopped image of the Binance website, the company’s CEO Changpeng Zhao stated:Immediately after McAfee released several statements on the issue, the Binance team along with its CEO Changpeng Zhao refuted the rumors, stating that Binance was not hacked. Binance went as far as to transfer funds from its cold wallet to hot wallet to show that the exchange was not hacked.The Binance team also encouraged McAfee not to spread false information and provided evidence that funds on the exchange are safe by publicly showing the cryptocurrency wallet addresses of the exchange.Zhao added that the exchange did not experience a hack, but an issue with its server and the team focused on recovering its data to enable trading.Difference between hack and minor server issuesRecently, many cryptocurrency exchanges and trading platforms were hacked. Coincheck experienced a $530 mln hacking attack as reported by Cointelegraph and yesterday, the largest Nano (RaiBlocks) exchange BitGrail experienced a security breach.The difference between a hacking attack and a minor server issue is that with security breaches, anyone can verify the movement of absurdly large amounts of cryptocurrencies from the cryptocurrency exchange’s wallets to external wallets, as seen in the case of Coincheck.Hours before the Coincheck team admitted to a hacking attack, many members of the cryptocurrency community released evidence that hundreds of millions of dollars worth of NEM were moved from the wallet of Coincheck to external wallets.Thus, if there is no evidence that large sums of funds in cryptocurrencies are transferred from the wallets of a cryptocurrency exchange to external wallets, it is irresponsible to suggest the possibility of a hacking attack.On Feb. 11, Binance CEO Changpeng Zhao released a personal statement on the recent Binance server issue and the actions of McAfee.“The real helper was Mr. Mcafee, posting an obviously fake image about us being hacked. Everyone pitched in to help defend us. He united the community for us, and rallied such support, during a time when we needed it the most. Sometimes, things that look negative are actually positive.”Cryptocurrency exchanges have similar daily trading volumes as stock markets in regions like South Korea. Trading platforms process billions of dollars on a daily basis. As such, upon the occurrence of a hacking attack or a security breach, cryptocurrency exchanges often contact the authorities and cooperate with law enforcement to investigate the attack, as Coincheck did last month. Also, given the size of most major cryptocurrency exchanges, it is irresponsible to suggest the possibility of hacking attacks or security breaches without hard evidence.",55520
1,3833,"The Arizona Senate passed a bill on Feb. 8 to allow residents in the state to pay their taxes with cryptocurrencies, public records indicate.The Senate Bill 1091, which intends to enable cryptocurrencies for tax payment, was introduced Jan. 10, 2018 and passed by the Senate Finance Committee by a 4-3 vote on Jan. 24. On Feb. 8, the Senate passed the bill by a 16-13 margin, with one no-vote.The bill has now been sent to Arizona’s House of Representatives.If the bill is adopted, Arizona would become the first state in the U.S. to accept cryptocurrency tax payments by the year of 2020, as stated on the public record. The bill would allow taxpayers of the state to use “a payment gateway, such as Bitcoin, Litecoin or any other cryptocurrency recognized by the department, using electronic peer-to-peer systems.”According to the bill, the Arizona Department of Revenue, upon receiving payments in crypto for “tax and any interest and penalties”, would be obligated to convert the cryptocurrency payments to U.S. dollars within 24 hours.Arizona State Republican Rep. Jeff Weninger, who co-sponsored the bill, said the tax measure intends to turn the state into a center of  “blockchain and digital currency technology in the future”. Referring to the tax bill, Weninger told Fox News this week:""It's one of a litany of bills that we're running that is sending a signal to everyone in the United States, and possibly throughout the world, that Arizona is going to be the place to be for blockchain and digital currency technology in the future.""In September, 2017, Cointelegraph reported that the municipality of Chiasso, Switzerland will enable its residents to pay taxes in Bitcoin starting January 2018, following the lead of Zug.",115597
2,1193,"J.P. Morgan has called cryptocurrencies the “innovative maelstrom” around Blockchain and said they are “unlikely to disappear” in what appears to be an internal report from the company, published Feb. 8, 2018.In an extract from what is allegedly the banking giant’s executive summary on cryptocurrency, the company appears bullish on crypto’s future.“Cryptocurrencies are the face of the innovative maelstrom around the Blockchain technology that is bringing both massive price volatility and a constant trial-and-error of new product try-outs and failures,” the report states.Despite the report’s mixed tone, the distinction from J.P. Morgan’s public position on cryptocurrency over the past six months is palpable.In September, 2017 J.P. Morgan CEO Jamie Dimon became notorious after he called Bitcoin a “fraud,” triggering the very price volatility the bank now cites as a “challenge” crypto assets face.Dimon subsequently claimed he was “not going to talk about Bitcoin anymore,” while last month publicly disclosing he “regretted” making the fraud comments.Speaking to Cointelegraph at the World Economic Forum in January, 2018, Dimon flatly refuted the idea that he was a “skeptic” on Bitcoin.The recently published report meanwhile offers ideas as to how cryptocurrencies could be used most effectively.“CCs [Cryptocurrencies] are unlikely to disappear and could easily survive in varying forms and shapes among players who desire greater decentralization, peer-to-peer networks and anonymity, even as the latter is under threat,” the summary continues in a positive vein.“The underlying technology for CCs [cryptocurrencies] could have the greatest application in areas where current payment systems are slow, such as across borders, as payment, reward tokens or funding systems for other Blockchain innovations and the Internet of Things, as well as parts of the underground economy.”Last week J.P. Morgan was one of several US banks to ban clients from purchasing cryptocurrency with credit cards.",68914
